תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
5/1/2026 12:00am,₪49.00,אוכל,מזדמנים,,הוצאה,January,,ויזה 6346
7/1/2026 12:00am,₪43.80,אוכל,סופר,מאפית שיבולת השרון,הוצאה,January,,ויזה 6346
8/1/2026 12:00am,₪127.00,אוכל,מזדמנים,פגישה עם שושי וצהריים בעבודה,הוצאה,January,,ויזה 6346
8/9/2025 12:00am,₪714.00,בית,מכשירי חשמל,מק תשלום 3,הוצאה,September,,ביט/פייבוקס
19/8/2025 12:00am,₪849.37,בית,חשמל,,הוצאה,September,,ביט/פייבוקס
10/8/2025 12:00am,₪178.00,בית,אלי אקספרס,אין,הוצאה,August,,ויזה 6346
1/2/2025 12:00am,₪175.00,בית,אלי אקספרס,אין,הוצאה,February,,ויזה 6346
1/8/2025 12:00am,₪1914.00,בית,מכשירי חשמל,מקבוק תשלום 2,הוצאה,August,,ביט/פייבוקס
1/5/2025 12:00am,₪76.00,בית,תיקונים,אין,הוצאה,May,,ויזה 6346
3/8/2025 12:00am,₪750.00,בית,מכשירי חשמל,ממירים חדשים,הוצאה,August,,מזומן
1/3/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,March,,צ'ק
1/4/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,April,,צ'ק
1/8/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,August,,צ'ק
1/5/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,May,,צ'ק
10/9/2025 12:00am,₪4100.00,בית,שכר דירה,,הוצאה,September,,צ'ק
1/7/2025 12:00am,₪1914.00,בית,מכשירי חשמל,מקבוק תשלום 1,הוצאה,July,,ביט/פייבוקס
1/8/2025 12:00am,₪144.00,בית,מכשירי חשמל,מכונת תספורת חדשה,הוצאה,August,,ויזה 6346
1/4/2025 12:00am,₪1101.00,בית,מכשירי חשמל,דייסון,הוצאה,April,,ויזה 6346
1/7/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,July,,צ'ק
3/8/2025 12:00am,₪661.00,בית,חשמל,אין,הוצאה,August,,ביט/פייבוקס
1/3/2025 12:00am,₪911.00,בית,חשמל,אין,הוצאה,March,,ביט/פייבוקס
1/6/2025 12:00am,₪429.00,בית,רהיטים,כסא מחשב,הוצאה,June,,ויזה 6346
1/1/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,January,,צ'ק
1/6/2025 12:00am,₪4100.00,בית,שכר דירה,אין,הוצאה,June,,צ'ק
1/4/2025 12:00am,₪364.00,בית,מכשירי חשמל,סוללה חדשה מחשב נייד,הוצאה,April,,ויזה 6346
